Fountainhead Island | Острів Витоку
Civilised Mayor | Цивілізований Мер
Poissonnier | Пуасоньє
Riddles of Pearl | Загадки Перлини
the Set (соціальне коло) | Товариство
Gant | Гант
the Arrant Limpet (таверна) | «Справжня Прилипала»
Soothe & Cooper (бренд) | „Сут і Купер“
Towers of Hanoi | Ханойські вежі
the Soaring Glory (корабель) | «Ширяюча Слава»
Exotic (ефект) | «Екзотичне»
Recent News (якість) | Свіжі Новини
Mute Exile | Німий Вигнанець
Whithern (прикметник від Whither) | камівський
the Blue Bazaar | Синій Базар
Milliner-Bats | Кажани-Капелюшники
frondules | фрондули
Captivating Treasure | Полонящий Скарб
Lotus-blossom | Лотосовий Цвіт
the Blue Prophets | Сині Пророки
the Chapel of Pyres | Каплиця Багать
Chione | Хіона
Lovestruck Princess | Закохана Принцеса
Distracted Composer | Неуважний Композитор
Conodont | Конодонт
the Urbane Magician | Світський Чарівник
the Satisfied Magician | Задоволений Чарівник
All the Wide Zee (якість) | Все Широке Море
cladent lobe | кладентна частка
Avuncular Broker | Добродушний Маклер
Midnight Whale | Опівнічний Кит
the Faustic Corsair | Фаустівський Корсар
