Persimmon Gate | Хурмова Брама
Wax-Wind | Восковий Вітер
Visager, Visagers | Ликівець, Ликівці
shroomer | грибар
House of the Amber Sky | Дім Бурштинового Неба
sorrow-spiders | павуки печалі
the Flit | Летунка
Slivvy | Слівві
Dadd Wing | Крило Дадда
the Steward | Управитель
the Exile | Вигнанка
rostygold | іржозолото
Pedantic Listener | Педантичний Слухач
the Whithern | Камівна
lungweed | легенева водорість
Writhing River | Звивиста Річка
parabola-flax | параболічний льон
the Vengeance of Jonah | «Помста Йони» (назва корабля)
zee-serpent | мор-змія
