the Cat's Chiefest Claw | Найвищий Кіготь Кота
the Well-Travelled Notary | Бувалий Нотаріус
Cavendish Abbey | Абатство Кавендіш
Jacks (card in a card game) | Валети
Beloved (card in a card game) | Кохана
the White-and-Golds | Біло-Золоті
the Seven (short for Seven Against Nidah) | Семеро
Propagandist (role title) | Пропагандист
the Moon Canal | Місячний Канал
the Nerveless | Безнервові
lungweed | легенева водорість
Trespassers | Порушники
the Maw | Паща
the Hungarian Café | Угорська Кав'ярня
Mutersalt | Мутерсіль
Slivvy | Слівві
the Redolent Fleshmerchant | Пахучий М'ясоторговець
Drownie Paleographer | Потопельник-Палеограф
Mrs Collier | Пані Кольєр
the Once-Talkative Rattus Faber | Колись Балакучий Rattus Faber
peligin (feasts) | пелігінові (непевний переклад, значення слова не встановлено)
Patron | Патрон
the Revenue | Податкова служба
Cargo | Вантаж
"Eat Our Hearts, My Darling" (song) | «З'їмо наші серця, кохана»
"The King is Tall, Tall" (song) | «Король високий, високий»
"Pop Goes the Weasel" (song) | «Ласка вискакує»
"The Old Dark Ocean Under the World" (song) | «Старий темний океан під світом»
