The Maw | Паща
Grave Courier | Поважний Кур'єр
The Angler | Вудильник
Complacent Stoker | Самовдоволений Кочегар
Stepwood (ship) | Степвуд
Merchant Venturer | Купець-Авантюрист
The Shining Mind | Осяйний Розум
Dual Monarchy | Подвійна Монархія
Exarch | Екзарх
Presbyterate Embassy | Посольство Пресвітеріату
Vibrant Lady of the House | Яскрава Пані Дому
The Eye | Око
Crispin IV | Криспін IV
bone-scribe | кістяний писар
neath-snow | надровий сніг
glim-lamp | глім-ліхтар
shroom-flesh | грибна плоть
prize-crew | призова команда
Paine, Proudhon, Thoreau | Пейн, Прудон, Торо
