wreckers | берегові мародери
fungers | грибуни
Seven-Serpent | Семизмій
Lost Treasure Hunter | Мисливець за Втраченими Скарбами
Vault of the First Emperor | Склеп Першого Імператора
Cannibal Pirates | Пірати-Канібали
sorrow-spiders | павуки скорботи
Fidgety Agitator | Метушливий Агітатор
the Shuttered Palace | Затулений Палац
amphigators | амфігатори
First Skeleton of Scrimshander | Перший Кістяк Кістяра
Imperial Cartographer | Імперський Картограф
Watchful Curios | Пильні Раритети
the Executor | Виконавиця
the Affable Factor | Люб'язний Фактор
her Enduring Majesty | Її Незламна Величність
White-and-Golds | Біло-Золоті
the Call | Поклик
Spiral Rule | Спіральне Правило
Prickfinger Wastes | Колючопалі Пустища
jillyfish | джилі-медуза
Open Ward | Відкрита Палата
Tomb Colonists | Могильні Колоністи
masters of sorrow | повелителі скорботи
Clarity | Ясність
