Tomb Colonist | могильний колоніст
Last Tour Operator | Останній Туроператор
Jocular Gentleman | Жартівливий Джентльмен
Odin's Horse (назва опери) | «Кінь Одіна»
Delmonico's | «Дельмоніко»
Austere Acolyte | Суворий Послушник
the Vault (сховище у місії з Барнабасом) | Сховище
Effusive Official | Багатослівний Чиновник
Cladery Heir (тут жіночого роду, у глосарії лише чоловіча форма «Кладерський Спадкоємець») | Кладерська Спадкоємиця
Agnihotri | Агніхотрі
the Master (провідник ритуалу у Схованці) | Наставник
Is-Not | Небуття
Poissonnier | Пуасоньє
Hunter's Eye | Мисливське Око
spoire-tusk | бивень спойра
Murgatroyd's Inestimable Frontier Supplies | Незрівнянні Прикордонні Припаси Мургатройда
Old London | Старий Лондон
Chandler of Souls | Торговець Душами
Tyrant Moths | Метелики-Тирани
the Undercrow | Підкрук
