Admiralty Survey Office | Топографічний Відділ Адміралтейства
Agnihotri | Агніхотрі
Bat (Polythreme) | Кажан
Moth (Polythreme) | Метелик
Seven-Serpent | Семизмій
the Last Tour Operator | Остання Туроператорка
the Paleographer | Палеограф
Trespasser | Порушник
the Needle | Голка
animescence | анімесценція
Greyfields | Ґрейфілдс
silkskin | шовкошкірий
the Plausible Surgeon | Правдоподібний Хірург
needleman | голкар
Haruspicy | гаруспіція
Rookery | Грачівня
Bill Sikes | Білл Сайкс
Tower Bridge | Тауерський міст
neddy men | недді
the Orphanage | Сиротинець
Pentecost apes | мавпи Пентекоста
Albino Moray | Альбіносова Мурена
Heptycheer | Гептичир
Bound-Shark | Скута Акула
