The Secretive Brother | Потайний Брат
Summerset College | Коледж Самерсет
Murgatroyd's | Мургатройд
Llud | Ллуд
Beli Maw | Белі Мау
animescence | анімесценція
the Vault | Сховище
Scion | Спадкоємець
Mithridate | Мітридат
Her Enduring Majesty | Її Незгасна Величність
Glim | Глим
the Putterpony | «Путерпоні»
the Paleographer | Палеографка
His Complexity | Його Складність
the Pentecost apes | мавпи Пентекосту
First Minister Edgar | Перший Міністр Едгар
the Market of Hungers | Ринок Голодів
the Factor | Фактор
zouls | мор-душі
heartstuff | серцевина
Catties | котяни
the King's Claw | Кіготь Короля
Enthralment | Зачарування
Clarity | Ясність
the Composer | Композитор
