mutersalt | Мутерсіль
the Frog | Жаба
Effusive Official | Улесливий Урядовець
the Leopard (ship) | «Леопард»
Captivating Treasure | Зачарований Скарб
Mountain-sherd | Гірський Черепок
White-and-Golds | Біло-Золоті
the Icarus (weapon) | Ікар
the Scarred Buccaneer | Зашрамована Буканьєрка
sorrow-spiders | павуки жалю
the Ivories (district in the Nook) | Кістяні
Trespassers | Прибульці
Hell-droppings | Пекельний послід
the Factor | Фактор
the Outcast | Вигнанець
Whithern (demonym) | камівці
lacre | сургуч
neath-snow | сніг Надр
neath-light | надряне світло
