Cock and Magpie | «Півень та Сорока»
the Maw | Паща
the Nerveless | Безнервові
the Showman | Балаганник
the Prester | Пресвітер
the Austere Acolyte | Суворова Послушниця
Midnight Thalattes | Опівнічні Талатти
Behemoustaches | Бегемовуси
Beloveds | Улюблені
The Soaring Glory Of Emperor Crispin IV (Greatest Of His Name) | «Злітна Слава Імператора Криспіна IV (Найбільшого з-поміж Носіїв цього Імені)»
Emperor Crispin IV | Імператор Криспін IV
the Agnihotri | Агнігхотрі
Sun-Priests | Сонячні Жерці
the Pilgrims | Пілігрими
Gazetteer | Довідник
Curiosities | Дивовижі
Lung-Bloom | Легеневоцвіт
the Fungus-Harvester | Грибозбирач
the Drowned Man | Потоплений
the Bishop | Єпископ
the Cartographer | Картограф
the Mandrake | «Мандрагора»
the Bride (Fathomking's) | Наречена
