Castle of Forests | Замок Лісів
Survey Office | Розвідувальне Бюро
Admiralty's Favour | Прихильність Адміралтейства
Time in the Archives | Час в Архівах
Nookdivers | закуткові нирці
Sniffers and Sounders | Нюхачі й Зондарі
Big Ransome | Здоровань Рансом
Macaw of Memories | Ара Спогадів
Dauntless Temperance Campaigner | Безстрашна Вояка Тверезості
Sculptress | Скульпторка
Muscular Prioress | Мускуляста Пріореса
the Abbess | Абатиса
the Revenue | Скарбниця
zee-wyrm | мор-змій
the Venturer | Шукач Пригод
the Watchers | Вартові
Void's Approach | Підступ Порожнечі
Bats (denizens of Visage) | Кажани
Soothe | Сут
Cooper | Купер
