Poissonnier | Пуасоньє
Prophets | Пророки
the Arrant Limpet | Запеклий Прилипало
the Civilised Mayor | Цивілізований Мер
the Crimson Beast of Winter | Багряний Звір Зими
Mirror-Marches | Дзеркальне Порубіжжя
the Unfinished Court | Недороблений Двір
sorrow-spiders | скорботні павуки
clothes-colonies | колонії одягу
Sinning Jenny | Грішна Дженні
Spear-Fisher | Списоловка
lungweed | легенева трава
the Court Eternal | Вічний Двір
the Amaranthine Palace | Амарантовий Палац
Soulharbour | Гавань Душ
the Drowned Man | Утоплений
lacre | лакр
the Flea-Ridden Mayor | Блохастий Мер
the Citadel (Anthe) | Цитадель
shroomer | грибар
lifebergs | живольоди
Townhouse | Міський Будинок
Heirlooms | Родові Реліквії
Agnihotri | Агніхотрі
