Scarred Sister | Порубцьована Сестра
Slow-Blinking Vendor | Повільномигаючий Торговець
Hurriers | Поспішайли
Getters | Здобувачі
Thrusters | Штовхачі
Foreign Office | Міністерство закордонних справ
Ender-Of-Critics | Заглушувач Критиків
Starving Poet | Голодний Поет
Market of Hungers | Ринок Голодів
the Ear | Вухо
Uttershroom Sporule | Спора Утергриба
Hairless Postwoman | Безволоса Поштарка
Postal Rat | Поштовий Щур
Escaped Composer | Утеклий Композитор
Mosaic Floor | Мозаїчна Підлога
the Vault | Сховище
Satisfied Magician | Задоволений Чарівник
Likely Lass | Здібна Дівчина
sorrow-spider | павук журби
City of Light | Місто Світла
Maw | Паща
the Taimen | Таймень
Gall-Eyed Engineer | Жовчноокий Інженер
Murinia | Мурінія
Perfidious Composer | Віроломний Композитор
the Bureau | Бюро
Powdered Custodian | Напудрений Наглядач
Travertine Vault | Травертинове Сховище
Midsummer Festival | Свято Середини Літа
Seaman Macfadzean | матрос Макфадзен
Calligo-class | клас Каліго
the Labyrinth | Лабіринт
Stamford's Expanse | Обшир Стемфорда
the Reef | Риф
Slivvy | Слівві
Affable Factor | Люб'язний Фактор
Heartmetal Ingot | Зливок Серцевого Металу
