Murgatroyd's Fungal Crackers | Грибні Крекери Мургатройда
Saints-Haven | Гавань Святих
the White-and-Golds | Біло-Золоті
Mute Exile | Німа Вигнанка
Far King | Далекий Король (у грі трапляється й the Fair King – Ясний Король; можливо, це інша істота або одрук оригіналу)
Moon Moth / Moon-Moth (офіцер) | Місячний Метелик (як персонаж – з великої; істота moon-moth за глосарієм лишається з малої)
Bazaar-draft | вексель Базару
Vibrant Lady of the House | Яскрава Пані, господиня дому
Othatooroth ithacithi (мова потопельників) | Отатурот ітакіті (транслітерація кирилицею)
Chief Engineer Edgar | Головний Механік Едгар
Dockworker | докер
