Plausible Surgeon | Правдоподібний Хірург
Tyrant's Gardens | Сади Тирана
Caligula's Coffee House | Кав'ярня Калігули
Shady Sort | Підозріла Особа
Lifeberg | Живберг
Seven-Serpent | Семизмій
Enigma | Енігма
Muscular Monk | М'язистий Монах
The Worst Ways To Die At Zee | Найгірші способи померти в морі
Ambitious Page | Амбітний Паж
Violant Ink | Фіалкове Чорнило
Zeeweed | морбур'ян
Forgotten Quarter | Забутий Квартал
Murgatroyd's Imperial Tea Shop | Імперська Чайна Мургатройда
Penties | пентійці
Soaring Glory | «Небесна Слава»
Flinty Latitudinarian | Кремінний Вільнодумець
Network | Мережа
