Limpet | Лімпет
Glim (glim lantern) | глім (глімовий ліхтар)
Foxfire Candles | Свічки Лисячого Вогню
sorrow-spiders | павуки скорботи
heartmetal | серцевий метал
Clay Broker | Глиняний Маклер
Watchful Curio | Пильний Раритет
Benthic | Бентик (коледж)
Summerset | Самерсет (коледж)
the Nativity | Різдво
the Reaches | Простори
shapelings | формівці
the Ferret | Тхір
Abbot-Captain | Абат-Капітан
the Rainbowing (festival) | Свято Веселки
Network (характеристика) | Мережа
gaoler's honey / red honey | мед наглядача / червоний мед
Nightmare's Strength | Сила Кошмару
Restful Nights | Спокійні Ночі
