Murinia | Муринія
Iron and Misery Co. | Компанія «Залізо і Біда»
Funging Station | Грибна станція
the August Travel-Writer | Поважний Мандрописець
viric | вірик
the Broker | Маклер
Hands-On Diplomat | Рукастий Дипломат
the Nacreous Survivor | Перламутровий Вцілілий
Penstock | Пенсток
the Wicket | Хвіртка
Heartmetal | серцевий метал
the Scrimshaw Chronicler | Кістяний Літописець
the Glory (корабель) | «Слава»
Ironclad Will | Непохитний Заповіт
Heirloom | Спадкова Реліквія
Casket of Sapphires | скринька сапфірів
the Mechanic's Secret | Секрет Механіка
the Composer (у Враку) | Композитор
the Crypt | Крипта
the Dahut Prisoner | Полонянка Дахута
the Monster-Hunter | Мисливиця на Монстрів
That Which Makes Light in the Deeps | Те, Що Дає Світло в Глибинах
Feasts of the Zee | Бенкети Моря
Icarus in Black | Ікар у Чорному
Station III | Станція III
the Anxious University Student | Тривожний Студент
King's Claw | Пазур Короля
the Scholar's Notes | Нотатки Ученого
Isery's Patronage / Patron | Заступництво Ізері / Покровитель
undernight | піднічі
the Grand Sanatorium | Великий Санаторій
Emergence | Постання
the Tree of a Single Day | Дерево Одного Дня
