Chief Geometer | Головний Геометр
Jackal (deity/patron of Irem) | Шакал
Crocodile (deity/patron of Irem) | Крокодил
the Abbess | Абатиса
Crypt-gate (Dahut) | Брама Крипти
the Hairless Postwoman | Безволоса Поштарка
the Undergalley | Підгалера
lacre (neath-snow) | лакр
the Undercrow | Підкрук
the Rose-Market | Трояндовий Ринок
the Nidaheen (people of Nidah) | нідахенці
the Interior (Nidah lore) | Нутро
the Vault | Сховище
the White-and-Golds | Біло-Золоті
the Cock and Magpie (pub) | «Півень і Сорока»
