the Abbess | Абатиса
the Maw | Паща
the Sacred District | Священний Квартал
the Temple Tower | Храмова Вежа
the Ear (Visage) | Вухо
the Showman | Балаганник
Algernon | Алджернон
tether-visions | видіння-прив'язі
the Taimen (clan) | Таймен, клан Таймен
peligin (colour) | пелігін
viric (colour) | вірик
the Peligin Wash | Пелігінове Мілководдя
Mutersalt | Мутерсіль
Complexity (title for the Fathomking) | Складність
the Veiled Concubine | Наложниця під Покривалом
the Conscientious Mercenary | Сумлінний Найманець
the Sallow Philosopher | Змарніла Філософиня
the Rat Star | Щуряча Зірка
the Chief Science Officer | Головний Науковий Офіцер
Chickenwood (material) | курячодерево
