Cannoneer | Гармаш
Benthic College | Бентосний Коледж
Unsettled Salvager | Неспокійний Збирач Уламків
the Cavities | Порожнини
Fortas Kettle (ship) | «Фортас Кеттл»
Wisp-Ways | Стежки Блимавок
Signs of the South | Знаки Півдня
Service of the Well | Служіння Криниці
the Pulse of the Principles | Пульс Начал
Key of Dreams | Ключ Снів
City of Rememberance / City of Memory (Scrimshander) | Місто Пам'яті
Mrs Plenty's Shipside Provisioners | Портові Постачальники Пані Пленті
Cotterell & Hathersage (weapon maker, brand kept in Latin script) | Cotterell & Hathersage
Leadbeater & Stainrod (weapon maker, brand kept in Latin script) | Leadbeater & Stainrod
Britomart (cannon name) | «Бритомарт»
Undercrow | Підкрук
Karakorum | Каракорум
Behemoustache | Бегемотовус
Thalatte | Талатта
Greyfields (shroom-yards) | Сірополе
Blue Prophets | Сині Пророки
Milliner-Bats | Кажани-Капелюшники
Dream-Snakes | Змії Снів
Zong of the Zee | Мор-пісня
APOCYAN (colour name) | АПОЦІАН
Iria | Ірія
ironbird | залізний птах
