the Composer | Композитор
the Boundling | Зв'язанець
the Postal Rat | Поштовий Щур
the Avuncular Broker | Дядечкуватий Маклер
a Mischievous Eyed Gentleman | Пустотливоокий Джентльмен
the Arrant Limpet | Уперта Черепашка
the Calculating Mayor | Розважливий Мер
the Flea-Ridden Mayor | Блохастий Мер
the 'Rat Star' | «Щуряча Зірка»
the Forgotten Quarter | Забутий Квартал
the Lady of the Cages | Пані Кліток
the Iron & Misery Company | Компанія «Залізо та Скорбота»
Funging Station | станція обміну
the Undercrow | Підворона
the Brother's Regret | Жаль Брата
the Bandaged Chef-Paramount | Забинтований Верховний Кухар
an Elder Angler Crab | Старезний Краб-Вудильник
the Chief Geometer | Головний Геометр
the Presbyterate Princess | Пресвітеріатська Принцеса
the Vault | Сховище
the Crowded Mouth | Тлумна Паща
animescence | анімесценс
a Mountain-Sherd | Гірський Черепок
the Bureau | Бюро
Mrs Plenty's Carnival | Карнавал Місіс Пленті
Murgatroyd's Imperial Tea Shop | Імперська Чайна Мургатроя
the Gracious | Милостиві
a Tittering Artificer | Хихотливий Винахідник
the Factor | Фактор
Eschatologue | Есхатолог
the Faustic Corsair | Фаустівський Корсар
a Wreckship | Корабель-Уламок
the Irrepressible / Irrepressible Cannoneer | Невгамовний / Невгамовний Гармаш
Elliot | Елліот
Loki | Локі
a Glorious Dreadnought | Славетний Дредноут
a Pirate Steam-Pinnace | піратський паровий пінас
a Constant Companion | Постійний Супутник
Slivvy | Слівві
