the Avuncular Broker | Дядькуватий Маклер
the Buzzing Beggar | Дзижчачий Жебрак
the Blotter | «Промокашка»
the Mob | Юрба
the Cavities | Порожнини
Recent News | Свіжі Новини
the Icarus in Black | «Ікар у Чорному»
Drownie Counterpoint | Контрапункт Потопельника
the Stygian Repository | Стигійське Сховище
the Reaches | Нетрі
the Acolyte | Послушник
Absent Friend | Відсутній Друг
the Indomitable Campaigner | Незламна Вояка
Memento Mori | Memento Mori (латина, не перекладено)
Intriguing Snippet | Інтригуючий Уривок
Clathermont | Клетермонт (тату-салон Клетермонта)
the Trinkets | Дрібнички
the Market of Hungers | Ринок Голодів
the Calvary Doctrine | Доктрина Голгофи
the Factor | Фактор
white-cloaks | білоплащники
the Carnelian Exile | Карнеліановий Вигнанець
Ambiguous Eolith | Двозначний Еоліт
Crack Pirate Frigate | Елітний Піратський Фрегат
Eastern Angler Crab | Східний Краб-Вудильник
Hesperidean Apple | Гесперидське Яблуко
the Hairless Postwoman | Безволоса Поштарка
Alcaeus-class vessel | судно класу «Алкей»
the Eye | Око
Rose | Роза
Corsair Undergalley | Корсарська Підгалера
Fountainhead Island | Острів Витоку
Shivering Monkeys | Тремтливі Мавпи
the Melancholy Proprietor | Меланхолійний Власник
the Latitudinarian | Латитудинарій
Heartmetal | Серцевий Метал
the Gallery of Axes | Галерея Сокир
lungweed | легеневі водорості
the Liturgy of Souls | Літургія Душ
Persistent Fluting | Настирливе Награвання
the Monkey Emperor | Мавпячий Імператор
the Irrepressible Cannoneer | Невгамовний Канонір
Lifebergs | Лайсберги
the Flood Court | Двір Потопу
the August Travel-Writer | Поважний Мандрівний Письменник
