the Web of Stone | Павутина Каменю
the Nativity | Народини
the Scuttering Reaches | Метушливі Плеса
the Rat Star | Щуряча Зоря
the Lady's Eye | Око Пані
the Thalassine | Талассін
First Minister Edgar | Перший Міністр Едгар
the Hands-On Diplomat | Практична Дипломатка
the Agnihotri | Агніхотрі
the Sun-Priests | Сонячні Жерці
the Temple of Mihir | Храм Міхіра
Gunner Atkins | Гармаш Аткінс
the Chandler, the Chandler of Souls | Свічкар, Свічкар Душ
the Page (персонаж) | Паж
Pentecost ape, Pentecost apes | мавпа П'ятдесятниці, мавпи П'ятдесятниці
the Liberation of Night | Визволення Ночі
the White-and-Golds | Біло-Золоті
the Porcelain Quarter | Порцеляновий Квартал
the Poissonnier | Пуасоньє
the Chickenwood (одиничне джерело світла) | Куряче Дерево
