Cladery Souvenir | Кладерський Сувенір
the Tongue | Язик
the Garden of Cages | Сад Кліток
mirror-phrase | дзеркальна фраза
key-phrase | ключова фраза
the Maw | Паща
the Nerveless | Безнервові
the Gate (Sacks and Snow) | Брама
Caution (city) | Осторога
the Pilgrim-Wakers | Будителі Прочан
The Soaring Glory (zeppelin) | «Піднесена Слава»
Fountainhead Island | Острів Витоку
Abstraction | Абстракція
the Pentecost apes | мавпи П'ятидесятниці
the Second Great Empire | Друга Велика Імперія
bat-people | кажанолюди
Featherhaven | Пір'яна Гавань
bolegus-frond | болегус-пагін
February (character) | Лютий
the Glib Historian | Красномовний Історик
Freddy | Фредді
the Factor | Фактор
