White-and-Golds | Біло-золоті
the Nativity | Різдво
the Whistling Eye | Свистяче Око
Abbot-Commander | Абат-Командор
Flourishing-of-Years | Буяння Років
the Crimson Beast of Winter | Багряний Звір Зими
Principal of Benthic | Ректорка Бентіка
Expulsus | Expulsus (латина, залишено без перекладу)
Stygian Repository | Стигійське Сховище
Scrimshander Centre | Центр Кістяра
Muscular Prioress | М'язиста Пріориса
Unctuous Fellow | Єлейний Хлопака
bubble-mouths | бульбашкороті
sturricles | стуррикли
the Flit | Фліт
Penstock | Пенсток
Restful Nights | Спокійні Ночі
Experimental Modifications | Експериментальні Модифікації
the Vengeance of Jonah | Помста Йони
Sun-Seers | Сонцевидці
mutersalt | мутерсіль
braising-alembic | тушкувальний алембік
Your Complexity | Ваша Складносте (форма звертання)
Pentecost apes | мавпи П'ятидесятниці
the Travel-Writer | Письменник-Мандрівник
Grave Courier | Похмура Кур'єрка
Albert Square | Площа Альберта
Prince Albert | принц Альберт
Queen Vic | Королева Вік
Service (captain's term of duty) | Служба
