the Postal Rat | Поштовий Щур
the Poissonnier | Пуасоньє
the Stygian Repository | Стигійське Сховище
the Fidgeting Agitator | Метушливий Агітатор
the Femur and Lung | «Стегно і Легеня» (шинок)
sorrow-spider, sorrow-spiders | павук туги, павуки туги
the Lady in Lilac | Пані в Бузковому
the Chef-Paramount | Верховний Шеф-Кухар
animescence | анімесценція
the Porter | Носильниця
the Blemmigan Gallivanter | Блемміган-Гулянт
Apocyan | Апоціан
the Extraordinary Implication | Надзвичайний Натяк
the Irrepressible Cannoneer | Невгамовний Гармаш
the Wicket | Хвіртка
Captivating Treasures | Полонящі Скарби
tether (jarful of) | тетер
bandage-colony | бинтова колонія
zee-zhanty | мор-шанті
the Indomitable Campaigner | Незламний Вояка
the Burning Lady | Вогняна Пані
the Vault | Скарбниця
the Guide | Провідник
