Salt-Scarred Navigator | Просолений Штурман
the New Sequence | Нова Послідовність
Traitor's Bridge | Міст Зрадника
Hangman's Arch | Шибенична Арка
Effusive Official | Улесливий Урядовець
the House (місце паломництва) | Дім
House (термін карткової гри) | Палата
Anxious Student | Тривожний Студент
Drownie Postman | Потопельник-Листоноша
Mr Villein | Пан Вілейн
Masked Functionary | Замаскована Урядовиця
the Taimen | Таймені
the Flood Court | Затоплений Двір
Bat (маска на маскараді) | Кажан
Flourishing | Квітучий
Glib Historian | Велеречивий Історик
Boundling | Межанець
August Travel-Writer | Поважний Мандрівний Письменник
Wax-Wind | Восковітер
