the Salvager | Рятувальниця
Brimstone | Сірка
the Likely Lass | «Славна Дівчина»
the Drowned Man | Потонулий Чоловік
Mr Stones | Пан Стоунз
Frocks | Спідничка
the Unctuous Fellow | Єлейний Добродій
knot-oracles | вузлові оракули
the Fortas Kettle | «Фортас Кеттл»
the Tomb Colonist | Могильний Колоніст
the Showman | Балаганник
the Bishop | Єпископ
cliff-clingers | скельні прилипали
Zeeweed | морзілля
fish-teeth, tooth-fish | зуборибка
the Chronicler | Літописець
the Albino rat | Пацюк-альбінос
Glory (the beast's nickname) | Слава
