Murinians | муринці
Rat Star | Щуряча Зірка
Cavians | кавійці
Lady's Eye | Око Пані
Shady Sort | Непевний Тип
Ghost of the Ash Isthmus | Привид Попелястого Перешийка
Tree of Epochs | Дерево Епох
Emissary of Secrets | Посланець Таємниць
Trespasser | Порушник
Veteran Privy Counsellor | Досвідчений Таємний Радник
Mutersalt | мутерсіль
Pale Wastes | Бліді Пустища
Unexpurgated Gazette | Непідцензурний Вісник
Diary Of A Zee-Captain: From London To Irem And What We Did There Before We Arrived | Щоденник мор-капітана: від Лондона до Ірема і що ми там робили, перш ніж прибути
the Crypt | Крипта
