Dream-Snakes | Змії-Сновиди
the Maw | Паща
Nookdiver | Пірнальник Закутка
the Nativity | Нативіті (непевно: транслітерація, можливо назва свята чи локації в Empire of Hands – варто перевірити за контекстом гри)
Jillyfish | Джилліфіш
Wary Hermit | Обережна Пустельниця
Gap-Toothed Gunner | Щербатий Гармаш
Taamas (як позначення чужинців-відвідувачів у Варчасі, окремо від імені персонажа Таамас у глосарії) | Таамаси
Visagers (мешканці Лику) | мешканці Лику
Frog | Жаба
Pentecost apes | мавпи Пентекосту
Cinders | Жарини
the Cantigaster | Кантігастер
the Wide-Eyed Dockmaster | Витрішкуватий Начальник Порту
Codex | Кодекс
