Slivvy | Сліввi
the Urchin who Speaks to the Wind | Приблуда, що Розмовляє з Вітром
Hollow Street | Порожня вулиця
the Gracious | Ласкаві
the Debonair Deductress | Ґречна Дедуктивістка
the Burning Lady | Вогняна Пані
the Fortas Kettle | «Фортас Кетл» (назва корабля)
the Scrimshaw Chronicler | Кістяний Літописець
Parabola-Linen Bandages | бинти з параболічного полотна
the Iron & Misery company | компанія «Залізо і Скорбота»
the Spring Rites | Весняні Обряди
the Medusa's Head | «Голова Медузи»
the Nacreous Survivor | Перламутровий Вцілілий
Pentecost Apes | мавпи П'ятидесятниці
the Crocodile-Masked Visitor | Відвідувач у Масці Крокодила
Your Complexity | Ваша Складносте
the Fulgent Impeller | Осяйний Імпелер
the Healer of the Seven | Цілителька Семи
the Flinty Latitudinarian | Кременистий Латитудинарій
the King with the Hundred Hearts | Король зі Ста Серцями
the Nerveless | Незворушні
the Crate of Human Souls | Ящик Людських Душ
Shelley | Шеллі
