Wisdom (place) | Мудрість
the Moth (cult/etiquette) | Метелик
Lady Miriam | Пані Міріам
Penstock | Пенсток
Elegant Townhouse | Елегантний Особняк
House of Cavy's Knights | Лицарі Дому Кавій
the Agitator | Агітатор
Professor Denuntiatus | Професорка Денунціатус
Truthbreaker Turbine | Турбіна Правдолам
the Nerveless (cult) | Безнервові
the Nativity (place) | Народини
the Drowning Feast | Бенкет Утоплення
Cladery Souvenir | Кладерський Сувенір
the Truth-Hunting Chelonate | Хелонатка-Правдошукачка
the Prester | Пресвітер
animescence | анімесценція
the Shell (place) | Мушля
going sharp | загострення
