the Scarred Sister | Понівечена Сестра
silkskin | шовкошкірий
Taamas (як назва народу/клану) | Таамаси
Sun-Priest | Сонячний Жрець
the Shadow (скорочення від Khan's Shadow) | Тінь
Bat-mask | Маска-Кажан
Flourishing-of-Years | Розквіт-Років
the Maw | Паща
the Mute Exiles | Німі Вигнанці
the Murgatroyd Company | компанія «Мергатройд»
the Stepwood (назва корабля) | «Степвуд»
Enduring Majesty | Незламна Величність
sorrow-spiders | скорботні павуки
the Western Wall | Західна Стіна
the Cannoneer | Канонір
the Iron & Misery Company | компанія «Залізо та Скорбота»
the Factor | Фактор
