the great Maw | велика Паща
the Assigner of Corpses | Розподільник Трупів
the Postal Rat | Поштовий Щур
the Lady's Eye | Око Пані
Snegurochka | Снігуронька
the Plausible Surgeon | Правдоподібний Хірург
the Monkey Emperor | Мавпячий Імператор
sorrow-spiders | павуки-скорботи
the Rainbowing | Райдужіння
the Whisper-Locked Box | Скринька, Замкнена Шепотом
a Jovial Contrarian | Життєрадісний Заперечник
zonar schematics | схеми зонара
the Gesundheit Conspiracy | Змова Gesundheit
the Market of Hungers | Ринок Голодів
the Well-Travelled Notary | Бувалий Нотаріус
a Mountain-sherd | Гірський Черепок
the Severe Chemist | Суворий Хімік
the Disillusioned Doctor | Розчарований Лікар
the Kettle | Чайник (прізвисько)
a Prim Baronet | Педантичний Баронет
an Unread Log | Непрочитаний Журнал
the Avuncular Broker | Доброзичливий Маклер
your Ferret | ваш Тхір (домашня тваринка)
the Shady Cook | Підозрілий Кухар
the Nacreous Outcast | Перламутровий Вигнанець
a Serpentine | Серпентин (предмет)
Drownie Love-Song | Пісня Кохання Потопельника
the Cleft | Розколина
the Mute Exiles | Німі Вигнанці
Phosphorescent Nodules | Фосфоресцентні Вузлики
a Redolent Fleshmerchant | Запашний Торговець Плоттю
a Needle (Brother's regret) | Голка
