the Nidaheen | нідахенці
the Adjudicator | Суддя
Thalassine | Таласіна
Wisdom (тюремна колонія) | Мудрість
Aestival | Естиваль
the Widow | Вдова
the Broker | Маклер
Penstock | Пенсток
Axiles | Аксайли
the Maw | Паща
the Mollyflower | Моллі-Квітка
the Sober Showman | Тверезий Шоумен
the Cathedral (собор потопельників) | Собор
the House of the Amber Sky | Дім Бурштинового Неба
the Library of Parts | Бібліотека Частин
His Complexity | Його Складність
the Deep (у Твердині Глибокороля) | Глибина
the Catties (мешканці Котячого Острова) | котяни
the Commodore | Командор
