the Pull | Тяжіння
Once-Talkative Rattus Faber | Колись-Балакучий Rattus Faber
Veilgarden | Серпанковий Сад
White-and-Golds | Біло-Золоті
the Lady of the Cages | Пані Кліток
the Vault | Сховище
the Yellow-Eyed Maid | Жовтоока Служниця
the Wreckers | Розбивачі
the Impeller | Крильчатка
the Ferret | Фретка
the Gallivant | Гулянт
Clathermont's | Клетермонт
Parabola-Linen | Параболічне полотно
Seolly | Морлілей
Whithern | камівський (від Камо)
St Brendan's fire | вогонь святого Брендана
the Navigator (патрон-заступник моряків) | Навігатор
