Cantigaster | кантигастер
lungweed | легенева трава
the Outside | Зовнішній Світ
the Beloved | Кохана
the Hands-On Diplomat | Дипломат-Практик
the Hairless Postwoman | Безволоса Поштарка
the Near-Forgotten Betrayer | Майже Забута Зрадниця
the Judas Captain | Капітан-Юда
Mr Veils | Пан Покрови
Sprightly Deckhand | Жвавий Матрос
Craggy Crewman | Кряжистий Моряк
Solemn Stoker | Поважний Кочегар
the Pull | Тяжіння
February (уособлений агент Календарної Ради) | Лютий
the Seven (Propagandist for the Seven) | Семеро
