the Pillared City | Колонне Місто
the Exile | Вигнанниця
Murinia | Муринія
His Complexity | Його Складність
the Centre-stone | Осердя-камінь
the Pull | Тяга
the Royal Bethlehem | Королівський Бедлам
the Unsettled Salvager | Неспокійна Рятувальниця
zonar (schematics) | зонарні креслення
the Cannoneer | Канонір
heartmetal | серцевий метал
Aestival | Естіваль
the King's Claw | Пазур Короля
the Widower | Вдівець
the White-and-Golds | Біло-Золоті
the Taimen Clan | клан Тайменя
the Severe Chemist | Суворий Хімік
tether | прив'язь
the Sea of Voices | Море Голосів
the Merchant Venturer | Купець-Авантюрист
the Maw | Паща
Baseborn & Fowlingpiece | «Нижчородні та Дробовик»
Heirlooms | Реліквії
Wisdom (місце/викрадач у квесті Механіка) | Мудрість
Monster-Hunters | Мисливці на Чудовиськ
Scrimshaw's amphitheatre | амфітеатр Кістяра (ймовірно = Scrimshander/Кістяр)
