Crocodile-Masked Visitor | Відвідувач у Крокодилячій Масці
Codex | Кодекс
the Bandaged Poissonnier | Забинтований Пуасоньє
sorrow-spiders | павуки скорботи
the Garden Tower | Садова Вежа
Extraordinary Implication | Надзвичайний Натяк
Experimental Modifications | Експериментальні Модифікації
the Blue Priest | Синій Священник
the Moon Canal | Місячний Канал
the Shining Mind | Сяючий Розум
siren-serpents | сирени-змії
Harlot-Fry | Мальок Блудниці
the Ear | Вухо
heartmetal | серцеметал
lungweed | легенева трава
the Glib Historian | Балакучий Історик
Fragments | Фрагменти
the Chronicler | Хроніст
the Turtle (Chelonate deity) | Черепаха
