Crow | Кроу
Undercrow | Андеркроу
the Nativity | Ясла
Hearthsake Village | Село Гартсейк
the Cavities | Порожнини
the Wisp-Ways | Мерехтливі Стежки
nerveline | нервова жилка
BoundShark | Прикута Акула
the Mirror-Marches | Дзеркальні Рубежі
the Rose and Tiger | «Троянда і Тигр»
the Carmine Chapel | Кармінова Каплиця
the Serrated Abyss | Зазублена Безодня
the Abyss of Pyres | Безодня Багать
the Screaming Sage | Кричущий Мудрець
the Dauntless Hand | Безстрашна Рука
the Wheel of Mists | Колесо Туманів
the Gracious Widow | Милостива Вдова
the Shadowy Predator | Тінявий Хижак
the Civet | Цивета
the Silent Gallery | Мовчазна Галерея
the Burial Chamber | Поховальна Камера
Shed Twelve | Сарай Дванадцять
the High Gate | Висока Брама
the Rat Star | Щуряча Зірка
the Second Lineage | Другий Рід
