Undercrow | Підворон
Mina Fortesque | Міна Фортеск'ю
Leonora | Леонора
Frederick | Фредерік
zee-grass | мор-трава
the Merchant Venturer | Купець-Авантюрист
the Hairless Postwoman | Безволоса Листоноша
Edgar (Chief Engineer) | Едгар
Cavia Town | Кавіанське Місто
Mrs Plenty | Місіс Пленті
the Daughter (officer) | Донька
the Chronicler (officer) | Літописець
the Impossible Lamb (ship) | «Неможливе Ягня»
the Obsequious Steward | Улесливий Стюард
the Penties / Pentecost apes | Пентики / мавпи Пентекост
the Vault | Сховище
heartmetal | серце-метал
illiciae | іллісії
the Operator | Оператор
the Sanatoria | Санаторії
the Deputy Recorder | Заступник Секретаря
the Third City | Третє Місто
the Reaches | Розлоги
sorrow-spiders | тужливі павуки
the Cannoneer | Канонір
