Austere Acolyte | Сувора Послушниця
Greyfields 1882 | Грейфілдс 1882
Soothe and Cooper | Сут-і-Купер
Avernus | Аверн
Mansion's Pyre | Багаття Маєтку
the Angler | Вудильник
the Broker's Commission | Доручення Брокера
the Wistful Wrecker | Замріяний Кораблегубець
Wrackweed | врак-трава
Black Wings Absinthe | абсент «Чорні Крила»
the White-and-Golds | Біло-Золоті
the Shady Cook | Сумнівний Кухар
Void's Approach | Підступи Порожнечі
Mahogany Hall | Магонієва Зала
the Moray | Мурена
Wharncliffe | Вархкліф
knot-oracle | вузол-оракул
Penstock | Пенсток
the Wastes | Пустки
the Hill | Гора
apocyanic | апоціановий
