Needles of Fortas | Голки Фортаса
the Ivories | Кістяний Берег
Unprepossessing Mass | Непоказна Маса
Polythreme Exile | Політремський Вигнанець
Carnelian Exile | Карнеліанський Вигнанець
Zeeside Mansion | мор-маєток
Thalatte | Талатта
the Maw | Паща
Hearthsake Village | село Осідок Вогнища
Veiled Concubine | Завуальована Наложниця
Soothe and Cooper | «Сут і Купер»
Heartmetal Smith | Коваль Серцевого Металу
jarful of tether | баночка прив'язі
Shady Cook | Підозрілий Кухар
lungweed | легеневі водорості
zoul, zouls | зуля, зулі
Mudlark | Мулошукач
Urbane Magician | Світський Чарівник
Gall-fruits | плоди жовчі
Lifeberg | Живобрила
the Admiralty Survey Office | Картографічна Служба Адміралтейства
hopper | гоппер
the Avuncular Broker | Дядькуватий Маклер
Rat-Barge | Щуро-Баржа
Caligula's | «Калігула»
the Glib Historian | Красномовний Історик
the Ancient Chronicler | Давній Хроніст
the Wine-Mazed Lamp-Lighter | Ліхтарник, Заблуканий у Вині
the Bruiser | Здоровань
