Royal Bethlehem Hotel | Королівський готель «Бетлегем»
Melting Isles | Танучі Острови
mutersalt | мутерсіль
Sisterhood | Сестринство
the Ferret | Тхір
the Severe Chemist | Суворий Хімік
tether (plant) | прив'язь
Southern Archipelago | Південний Архіпелаг
Her Enduring Majesty | Її Незмінна Величність
His Lordship | Його Світлість
the Second City | Друге Місто
Merciful Mode | Милосердний Режим
Invictus Token | Токен Invictus (Invictus лишено як є, усталений термін гри)
the Sun-Priest | Сонячний Жрець
the Shell-Slayers | Мушлебійці
Cladery Souvenir | Кладерський Сувенір
His Complexity | Його Складність
St Stalactite | святий Сталактит
Sunless Sky | Безсонячне Небо
Storyteller (quality) | Оповідач
the Crypt | Крипта
Penstock | Пенсток
Fortas Kettle | Фортас Кеттл
Viceroy | Намісник
the Palace | Палац
the Gullet (wall) | Горлянка (стінка Горлянки, вжито як існуюча локація)
