Abyssal Bounty | Безодневий Дар
Needle of Fortas | Голка Фортас
the Dauntless Palate | Безстрашне Піднебіння
the Survivor | Той, Хто Вижив
the Snow Child | Сніжна Дитина
a Revelatory Chart | Викривальна Карта
Brimstone Buzzings | Сірчані Плітки
the Albino Moray | Альбіносова Мурена
Maybe's Rival | Суперниця Можливо
the Wretched Mog | Жалюгідний Мог
a Watchful Curio | Пильна Дивовижа
the Weeping Scar | Плачучий Шрам
the Hunter's Eye | Мисливське Око
the Mirror-Charm | Дзеркальний Оберіг
the Locust | Сарана
the Bright-Eyed Sequencer | Яснозорий Секвенсор
the Flinty Latitudinarian | Кременистий Латитудинарій
the Drowned Man | Потоплений
the Chronicler | Літописець
the Blumenbach Quarantine | Карантин Блюменбаха
the Wreckers | Берегові Грабіжники
lungweed | легенянка
sorrow-spiders | павуки-скорботи
the Lamplighters' Arcade | Аркада Ліхтарників
a vision of Knives | видіння Ножів
the Royal Bethlehem Hotel | Готель «Королівський Віфлеєм»
Heartscross House | Гартскросс-Хауз
the Cock and Magpie | «Півень і Сорока»
Traitors Gate | Брама Зрадників
the Zong of the Zee | Мор-Пісня
