the Sober Showman | Тверезий Шоумен
Algernon | Алджернон
the Sanctum | Святилище
the Stony Matron | Кам'яна Матрона
the Clan of the Leopard | Клан Леопарда
sorrow-spiders | скорботні павуки
bolegus | болегус
skirralee | скіралі
the Iron & Misery company | компанія «Залізо і Скорбота»
the Changed | Змінені
Peculiar Personal Enhancement | Незвичне Особисте Вдосконалення
the Dawn Fluke | Світанковий Флюк
jillypaper | джилі-папір
Café Ferstel | Кафе Ферстель
the Melancholic Proprietor | Меланхолійний Власник
the Agnihotri | Агніхотрі
gant | гант
the Department of Infernal Rarefactions | Кафедра Інфернальних Розріджень
the Venturer | Шукач Пригод
the Lady of the Cages | Пані Кліток
Hell-droppings | пекельні кізяки
the Executor | Виконавиця
the Singing Mandrake | Співучий Мандрагор
Axile | Аксіл
the Blue Bazaar | Синій Базар
the Cathedral | Собор
Kydbrook | Кайдбрук
Peck | Пек
Hackney (brook) | Хакні
Walbrook | Волбрук
Tyburn | Тайберн
Fleet | Фліт
Effra | Ефра
Neckinger | Некінджер
Bill Sikes | Білл Сайкс
Sudbrook | Садбрук
Falconbrook | Фолконбрук
Westbourne | Вестборн
Ravensbourne | Рейвенсборн
Lea | Лі
Darent | Дарент
Wandle | Вондл
