the Ruptured Throat | Розірвана Горлянка
the Serrated Throat | Зазубрена Горлянка
the Serrated Abyss | Зазубрена Безодня
the Maw | Паща
the Great Maw | Велика Паща
Nookdiver | нирець Закутка
the Shady Sort | Сумнівний Тип
Shell Beach | Мушлевий Берег
the Vault | Сховище
The Pentecost Ascendant | «Пентекост Висхідний» (назва)
Pewter Horsehead | олов'яна кінська голова
snolem | снолем
the Kettle | «Казан» (заклад)
Caligula's | «Калігула» (заклад)
Venturer, the Venturer's | Авантюрист, Авантюриста
animescence | анімесценція
the Waswood | Колишліс
serpentling, serpentlings | серпентя, серпентята
the Conodont | Конодонт
the Cavities | Порожнини
the Porter | Портьє
the Scuttering Reaches | Шаснучі Простори
Emland | Емланд
tooth miners | зубодобувачі
