Drowned Man | Потонулий
animescence | анімесценція
Hour of Our Reflection | Година Нашого Відображення
Rainbowing | Райдужання
Disillusioned Doctor | Розчарований Лікар
Indomitable Campaigner | Незламна Вояка
Eldest | Найстарший
Vibrant Lady | Яскрава Пані
PELIGIN | ПЕЛІГІН
Royal Bethlehem | Королівський Бетлем
Boadicea | Боадісея
Leadbeater & Stainrod | Leadbeater & Stainrod (назва компанії, залишено англійською)
Zeeside Mansion | Мор-прибережний Особняк
Elegant Townhouse | Елегантний Міський Будинок
COSMOGONE | КОСМОГОН
the Conodont | Конодонт
the Postmaster Cryptic | Таємнича Поштмейстерка
Speculative Consonance | Спекулятивний Консонанс
the Consonator | Консонатор
the Crimson Book | Багряна Книга
the Venturer | «Авантюрист» (назва корабля)
Ironclad Will | Незламний Заповіт
Heirlooms | Родинні Реліквії
the Redolent Fleshmerchant | Духмяний Плототорговець
meath | «міт»
Nacreous Survivor | Перламутровий Вцілілий
zee-monster | мор-чудовисько
zee-gods | мор-боги
zee-salt | мор-сіль
Café Ferstel | «Кафе Ферстель»
