Usurper Sun | Сонце-Узурпатор
Flourishing-of-Years | Розквіт Років
the Maw | Паща
sorrow-spiders | павуки скорботи
Saint Aegidius' Day | День Святого Егідія
honeysponge | медова губка
lungweed | легенева трава
Penstock | Пенсток
mithridacy | мітридатика
Foxfire Candles | Свічки лисячого вогню
cosmogone flowers | космогонні квіти
Tyrant-moth | тиран-метелик
Indomitable Campaigner | Незборима Вояка
Pentecost apes | п'ятидесятницькі мавпи
the Court of Chancery | Канцлерський суд
Leucothea | Левкотея
Steam-Yacht | Парова Яхта
Soothe & Coo | Втіха та Воркотання
