Nerveless | Безнервні
Secret | Секрет
Chronicler | Хроніст
the Carnelian Exile | Карнеліанська Вигнанка
the Acolyte | Послушник
the Master of the Dance | Володар Танцю
the Thalatte | Талатта
the Imperial Alchemist | Імперський Алхімік
the Lost Treasure Hunter | Мисливець за Загубленими Скарбами
Slivvy | Сліві
Trespasser | Порушник
lungweed | легеневодоросль
the Doctrine | Доктрина
the Operator | Оператор
Collections | Збори
the Cock and Magpie | «Півень і Сорока»
the Café Ferstel | «Кафе Ферстель»
the Market of Hungers | Ринок Голодів
the Moray | Мурена
the Agent | Агент
the Scholar | Науковець
