Boundling | Баундлінг
the White Chamber | Біла Палата
the White-and-Golds | Біло-Золоті
the Gall-Eyed Engineer | Жовчоокий Інженер
the Chequered Character | Картатий Тип
the Hall of Sevens | Зала Сімок
the Sharpest | Найгостріший
the Maw-Shrine | Святилище Пащі
the White Mollyflower | Біла Моллі-квітка
animescence | анімесценція
the Travel-Writer | Мандрівний Письменник
the Urbane Magician | Світський Чарівник
the Market of Hungers | Ринок Голодів
Expulsus | Expulsus (латинська власна назва, не перекладено)
Albino Moray | мурена-альбінос
Pot of Violant Ink | Горщик Фіалкового Чорнила
Behemoustache | бегемотовус
the Sixth Witness | Шостий Свідок
the Web of Stone | Кам'яна Павутина
the Cock and Magpie | «Півень і Сорока»
the Arrant Limpet | «Запеклий Прилипало»
Cache of Curiosities | Схованка Дивовиж
the Taimen | Таймен
Doomed Monster-Hunter | Приречений Мисливець на Чудовиськ
the Merchant Venturer | Купець-Авантюрист
Needle of Fortas | Голка Фортаса
the Kettle | Казан
Zailor's End | Кінець Моряка
lungweed | легенева водорість
Cotterell & Hathersage | Коттерелл і Хаттерсейдж
Shell Beach | Черепашковий Пляж
Smiling Young Man | Усміхнений Юнак
the Fidgeting Agitator | Метушливий Агітатор
the Lady of the Gardens | Дама Садів
