Slender Factotum | Стрункий Фактотум
Civet | Цивет
the Nativity | Народження
Infernal Rarefactions | Пекельні Розрідження
the Venturer | Авантюрист
the Forge of Souls | Кузня Душ
the Salt-Scarred Navigator | Просолений Штурман
the Ragged Fellow | Обшарпанець
the Undergalley | Підгалера
shapeling | шейплінг
the Bespectacled Visitor | Відвідувач в Окулярах
the Austere Acolyte | Сувора Послушниця
the 'Thalassine' | «Таласин»
His Complexity | Його Складність
Mr Fires | Пан Вогні
the Companion | Супутник
