The Promising Poet | Багатообіцяльний Поет
The Glib Historian | Балакучий Історик
A Plucky Researcher | Завзятий Дослідник
the Blue Bazaar | Синій Базар
the Bound-Shark | Скута Акула
Moth (у виразі "Moth to Cobra") | Метелик
Cobra (у виразі "Moth to Cobra") | Кобра
the Waswood | Бувлісся
The Exile (officer) | Вигнанка
The Porter | Носійка
the Valves of Pearl | Перлові Клапани
sorrow-spiders | павуки скорботи
the Leopard (титул/дім) | Леопард
the Taimen (титул/дім) | Таймень
Heaven-shrine | Небесна Святиня
the Mountain of Light | Гора Світла
the Skull (індикатор жаху) | Череп
Secrets (ресурс) | Таємниці
the River (потойбічна ріка) | Річка
the Sisters (збірна згадка про Сестер) | Сестри
