Clarity | Ясність
Enthralment | Зачарування
sorrow-spiders | павуки-скорботи
Cosmogone | Космогон
Peligin | Пелігін
Chelonate Chronologist | Хелонатський Хронолог
the Seven's Propagandist | Пропагандист Семи
St Arthur's Lesson | Урок Святого Артура
St Forthigan | Святий Фортіган
crystal-livered | кришталепечінкові
Vigilant Spear-Fisher | Пильна Гарпунниця
lungweed | легенева трава
Cage-Gardens | Сади-Клітки
the Albertine Gates | Альбертинові Ворота
the Catties | котяни
the Assigner, Assignments | Призначувач, Призначення
animescence | анімесценція
the Chamber of Sevens | Палата Семи
Recent News | Свіжі Новини
Intriguing Snippets | Цікаві Уривки
the Survivor | Вцілілий
Rhine | Рейн
