Custodial Chef | Наглядацький Кухар
Aestival | Естіваль
the Skin of the Sun | Шкіра Сонця
Veilgarden | Сад Покровів
Network (quality) | Мережа
Catties | котяни
the Vibrant Lady | Яскрава Пані
Cantigaster | кантигастер
the Sundered Sea | Розколоте Море
Fortas Kettle (ship name) | «Фортас Кеттл»
Mahogany Hall | Зала Червоного Дерева
Spite | Злоба
Flourishing-of-Years | Розквіт-Років
bubble-mouths | бульбашкороті
Apis | Апіс
the Cathedral (of Dahut) | Кафедральний Собор
the Frog (mask) | Жаба
the Locust (mask) | Сарана
the Bat (mask) | Кажан
