sorrow-spider, sorrow-spiders | павук журби, павуки журби
Kettle (ship name) | «Чайник»
The Rat Star (ship name) | «Щуряча Зірка»
Edgar (rat's name) | Едгар
the Hands-On Diplomat | Дипломатка На Всі Руки
the Effusive Official | Захоплений Чиновник
Blue Priest | Синій Священник
the Deep Blue Heaven | Глибоке Синє Небо
the Lady of the Gardens | Пані Садів
the Sanatorium | Санаторій
Mahogany Hall | Махагонієва Зала
the Bishop of St Fiacre | Єпископ Святого Фіакра
Power (half-human Power, being) | Сила
the Gazetteer | Довідник
the Curiosities (section) | «Курйози»
The Likely Lass (ship name) | «Путяща Дівчина»
the Eolith | Еоліт
the Nativity (place) | Народини
the Scuttering Reaches | Дрібноногі Обшири
the Accord of Grace | Угода Благодаті
the Showman | Шоумен
Needles (item collection) | Голки
Odysseus | Одіссей
