Pillared Sea | Колонне Море
Fifth City | П'яте Місто
sorrow-spider | тужливий павук
false-stars | несправжні зорі
Mirror-Charm | Дзеркальний Оберіг
the Chain | Ланцюг
Taimen Clan | Клан Таймен
White-and-Golds | Біло-Золоті
Square of Cedars | Площа Кедрів
the Leopard | Леопард
Brite | Брайт
Teneb | Тенеб
the Bridge (Parabola) | Міст
Pentecost apes | мавпи П'ятидесятниці
the August Travel-Writer | Поважний Мандрівний Письменник
the Maw | Паща
Nookweed | закутківське зілля
the Moray | Мурена
MAYBE (мовець у діалозі) | МОЖЛИВО
