Serpent Image | Зображення Змія
the Smiling Young Man | Усміхнений Юнак
the Distracted Composer | Неуважний Композитор
the Lovestruck Princess | Закохана Принцеса
the Once-Great Poet | Колись-Великий Поет
the Drowned Man | Втоплий Чоловік
the Anxious Student | Тривожний Студент
the Needles | Голки
the Fortas Kettle | «Фортас Кеттл»
Postmaster Scritch | Поштмейстер Скрітч
Soothe and Cooper | Сут і Купер
the Deconstruction | Деконструкція
lungweed | легенева водорість
the Maw | Паща
sorrow-spiders | павуки скорботи
the Web of Stone | Кам'яна Павутина
the Rose and Tiger | «Троянда і Тигр»
the Forgotten Quarter | Забутий Квартал
Nobody's Daughter | Донька Нікого
the Cannoneer | Канонір
the Avuncular Broker | Приязний Маклер
the Galatea | «Галатея»
Amaradri | Амарадрі
the Mountain of Light | Гора Світла
the Sun-Priests | Сонячні Жерці
the Trespasser | Порушник
Thalattes | Талатти
Behemoustaches | Бегемовуси
Beloveds | Улюблені
