Worldsmith | Творець Світу
Cage-Gardens | Сади-Клітки
Keep's End (Keep) | Кінець Твердині (Твердиня)
Caminus Yards | Верфі Камінус
Heart-Ender | Спинювач Сердець
Undercrow | Підкрук
Silver Tree | Срібне Дерево
Winterstrike | Зимоудар
Little London | Малий Лондон
Fortas | Фортас
Soothe & Cooper | Сут і Купер
Phorcyd | Форкід
Consonator | Консонатор
Taimen | Таймен
Aestival | Естіваль
Poissonnier | Пуасоньє
Chef-Paramount | Найвищий Кухар
Violant Ink | фіалкове чорнило
Ligeia | Лігея
Maenad | Менада
Apocyan | апоціановий
Ushabti | ушабті
Lampad | Лампада
Montaigne | Монтень
The Boke of Sharpes | Книга Гострого
The Zong of the Zee | Морпісня Підмор’я
Codex (порт) | Кодекс
Wisdom (порт) | Мудрість
Cat | Кіт
