Majesty | Величність
Unforgiving mode | Немилосердний режим
Merciful mode | Милосердний режим
Violant | Віолант
Mountain-of-Light | Гора Світла
Captivating Treasure | Полонящий Скарб
Excise | Акциз
Snow Child | Снігова Дитина
Shore Leave | звільнення на берег
Navigator Tier | рівень Navigator
Aestival | Естиваль
New London | Новий Лондон
Lastport | Останній Порт
Utopia Beneath | Утопія Внизу
Sophia (colony) | Софія
Fiddler's Gold | Золото Скрипаля
Sanctuary (colony) | Прихисток
The Empire of Trees | Імперія Дерев
Peachtree Isle | Острів Персикового Дерева
Head Office (colony) | Головний Офіс
B____r Off | В_____и
the Parliament of Flies | Парламент Мух
the Calvary Doctrine | Кальварійна Доктрина
the Gesundheit Conspiracy | Змова Ґезундгайт
the Expulsus | Експульсус
SOOTHE & COOPER (stencil brand) | СУТ І КУПЕР
the Maw | Паща
the Jocular Gentleman | Жартівливий Джентльмен
the Vibrant Lady | Яскрава Пані
the Severe Chemist | Суворий Хімік
Casket of Sapphires | Скринька Сапфірів
the Mechanic's Secret | Таємниця Механіка
the Monkey Emperor | Мавпячий Імператор
Patron | Патрон
the Sea of Voices | Море Голосів
the Stone Pigs | Кам'яні Свині
the Drownie Chorus | Хор Потопельників
the Zociety of Zeafarers | Товариство Мореплавців
St Arthur | Святий Артур
St Beau | Святий Бо
St Cerise | Свята Серіз
St Destin | Святий Дестен
St Erzulie | Свята Ерзулі
St Forthigan | Святий Фортиган
St Gawain | Святий Гавейн
Her Ladyship | Її Світлість
Rite/Ritual of Solace | Обряд/Ритуал Розради
Mrs Collier | Пані Кольєр
