Hearthsake Island | острів Гартсейк
Foxfire Candles | Свічки Лисячого Вогню
Snow Child | Сніжна Дитина
Perfidious Composer | Підступний Композитор
Café Ferstel | кафе «Ферстель»
animescence | анімесценція
Demeaux's Gate | Брама Демо
the Nacreous Survivor | Перламутрова Вцілілиця
the Nacreous Outcast | Перламутрова Вигнанка
the Set (пара предметів/персонажів) | Комплект
the Ear (локація) | Вухо
Cabinet of Curiosities | Кабінет Дивовиж
Lornest Fluke | Величний Лорн-Флюк
the Raven Haired Dotress | Чорноволоса Дотреса
tooth-house | зубна хатина
acumination | акумінація
Redolent Fleshmerchant | Запашний Плототорговець
August Travel-Writer | Шановний Мандрівний Письменник
Sovereign Island | острів Суверен
the Seven-Serpent | Семизмій
Lady of the Cages | Пані Кліток
Mirrored City | Дзеркальне Місто
heartmetal | серцезалізо
Acolyte | Послушник
Mute Exiles | Німі Вигнанці
Orphanage | Сирітський Притулок
Undercrow | Андеркроу
Poissonnier | Пуасоньє
Prudent Magician | Розважливий Чарівник
Ray-Drenched Cinder | Просякнутий Промінням Попіл
Apocyan Chess Piece | Апоціанова Шахова Фігура
Penstock | Пенсток
Benthic College | Бентичний Коледж
Winter (персонаж) | Зима
Safe Harbour | Безпечна Гавань
