Wheel of Mists | Колесо Туманів
The Gambit | Гамбіт
Unflinching Eye | Незворушне Око
ivory city | кістяне місто
gallblighter wasp | оса-жовчогуб
the Agreement About Nothing of Consequence | Угода про Цілковите Ніщо
the Gallivant (character, distinct from item "Gnomic Gallivant") | Гулянт
Near-Forgotten Betrayer | Майже Забутий Зрадник
Blithe Fiddler | Безтурботна Скрипалька
the Survivor | Вцілілий
the Maw | Паща
lungweed, lungweed-seller | легенева водорість, торговиня легеневою водорістю
the Obsequious Steward | Улесливий Дворецький
the Moth (unclear reference, possibly Moon-Moth) | Метелик
"Shalt-Flions" (garbled mispronunciation of "Salt-Lions" by a Rubbery Man) | "Шоляні Флеви" (спотворена вимова "Соляних Левів")
