Engine Power | Потужність Двигуна
the Lady in Lilac | Дама в Бузковому
the Outcast | Вигнанець
lamplighter bees | бджоли-ліхтарники
the Chief Geometer, the Keeper of Directions, Master of Land Measures and Sea Measures | Головний Геометр, Хранитель Напрямків, Володар Мір Землі та Моря
the Postal Rat | Поштовий Щур
the First City | Перше Місто
the Weary Ambassador | Втомлена Посланниця
the Maw | Паща
the House of Bladders | Дім Міхурів
the Pull | Поклик
the Cathedral | Собор
the Crypt | Крипта
the Acolyte | Послушниця
Tree of Epochs | Дерево Епох
the Revenue Men | Митники
the Chronologist | Хронолог
