Assigner of Corpses | Розподільник Трупів
Gall-Eyed Engineer | Жовчоока Інженерка
ushabti | ушебті
Alcaeus-class vessel | корабель класу «Алкей»
Trespasser | Порушник
the Drowned Man | Потонулий Чоловік
the White (Nidah cult figure) | Білий
Lady Leonora Fortescue | леді Леонора Фортеск'ю
Daring Archeologist | Відважна Археологиня
Nidaheen | нідахці
Pentecost apes | мавпи П'ятидесятниці
the Vault (tomb chamber) | Крипта
sorrow-spiders | павуки скорботи
White-and-Gold (Khaganian official) | Біло-Золота
spirifage | спірифаж
Solemn Stoker | Похмурий Кочегар
Recalcitrant Lookout | Непокірний Дозорець
Sprightly Deckhand | Жвавий Матрос
Brimstone (devils' homeland) | Сірка
the Mountain (Chelonate) | Гора
